Frente,Verso
10.5 Procedimentos – O inquérito civil é: a) Processo penal. b) Instrumento de investigação do MP. c) Julgamento do TCU. d) Julgamento disciplinar interno.,"Inquérito civil, PAD, Ação Civil Pública."
10.6 Responsabilidade de PJ – A responsabilidade de pessoa jurídica por ato lesivo é tratada na: a) Lei 12.846/2013. b) Lei de Execuções Penais. c) CLT. d) Constituição de 1967.,Lei Anticorrupção (Lei 12.846/2013); atos lesivos à administração pública.
10.7 Acordo de Leniência – O acordo de leniência: a) É proibido pela Constituição. b) Reduz sanções mediante colaboração. c) Isenta de responsabilidade. d) Não pode ser firmado com empresas.,Colaboração da empresa para apuração e redução de sanções.
10.8 CNEP – O Cadastro Nacional de Empresas Punidas: a) Não existe no Brasil. b) É de acesso restrito. c) Reúne dados de empresas sancionadas. d) É sigiloso por determinação da CGU.,Cadastro Nacional de Empresas Punidas por atos contra a administração.
11. Modelos de Estado – O modelo de Estado Democrático de Direito busca: a) Redução da função estatal. b) Supremacia do interesse individual. c) Garantia de direitos fundamentais e controle do poder. d) Livre iniciativa absoluta.,"Estado liberal, social, democrático; papel da Administração Pública conforme cada modelo."
11.1 Regime Jurídico Administrativo – O regime jurídico administrativo é caracterizado por: a) Igualdade entre Administração e particulares. b) Privilégios privados. c) Supremacia e indisponibilidade do interesse público. d) Livre atuação estatal.,Conjunto de regras e princípios que regem a atuação da Administração Pública.
11.2 Desconcentração e Descentralização – Desconcentração administrativa ocorre quando: a) A União transfere competência ao Município. b) O Estado delega função a ONG. c) Um órgão central cria órgãos internos. d) O serviço é terceirizado.,Repartição de competências dentro do mesmo ente (desconcentração) ou para outro ente (descentralização).
"11.3 Administração Direta e Indireta – A administração indireta é composta por: a) Ministérios. b) Autarquias, fundações, empresas públicas e sociedades de economia mista. c) Gabinetes e secretarias. d) Chefias de Poder.","Direta: União, Estados, DF e Municípios. Indireta: autarquias, fundações, empresas públicas e sociedades de economia mista."
11.4 Autarquias e Fundações – Autarquias são criadas: a) Por decreto. b) Por portaria. c) Por lei específica. d) Por contrato administrativo.,"Autarquias: criadas por lei, personalidade jurídica de direito público. Fundações: sem fins lucrativos, podem ser públicas ou privadas."
11.5 Empresas Públicas – Uma empresa pública tem como característica: a) Capital totalmente privado. b) Regime jurídico de direito público. c) Capital exclusivamente público. d) Não integra a Administração Pública.,"Entidades com capital exclusivamente público, exploram atividade econômica."
11.6 Sociedades de Economia Mista – A sociedade de economia mista possui: a) Apenas capital público. b) Regime sempre público. c) Capital misto e maioria estatal. d) Personalidade jurídica de direito privado apenas.,"Capital misto (público e privado), maioria estatal; atuam sob regime privado."
11.7 Agências Executivas e Reguladoras – Uma agência reguladora atua para: a) Promover o interesse privado. b) Regular e fiscalizar setores específicos. c) Gerir bens da União. d) Administrar políticas tributárias.,Executivas: eficiência e metas. Reguladoras: fiscalizam setores econômicos.
11.8 PPPs – Uma Parceria Público-Privada se caracteriza por: a) Exclusão da iniciativa privada. b) Ter duração máxima de 2 anos. c) União de esforços público-privados para projetos de interesse público. d) Submissão a regime militar.,Parcerias entre setor público e privado para execução de serviços ou obras de interesse coletivo.
11.9 Terceiro Setor – Entidades do Terceiro Setor incluem: a) Ministérios. b) Empresas estatais. c) OSCIPs e ONGs. d) Partidos políticos.,"Entidades privadas com atuação pública: OSCIPs, ONGs, fundações, associações."
12. Poderes Administrativos – O poder regulamentar permite: a) Criar nova lei. b) Regular a aplicação da lei. c) Revogar normas superiores. d) Julgar atos administrativos.,Instrumentos para cumprimento do interesse público.
12.1 Tipos de Poderes – A polícia sanitária pode: a) Legislar sobre saúde. b) Proibir funcionamento de estabelecimentos irregulares. c) Conceder habeas corpus. d) Criar impostos para a saúde.,"Normativo, regulamentar, discricionário, vinculado, hierárquico, disciplinar, polícia."
12.2 Polícia Sanitária – O abuso de poder pode ser identificado quando há: a) Atuação fundamentada. b) Uso adequado da competência. c) Excesso de poder. d) Ato discricionário legítimo.,"Atividade reguladora da saúde pública; vigilância, fiscalização e interdição."
12.3 Abuso de Poder – Atos administrativos possuem como atributo: a) Inexistência de efeitos jurídicos. b) Facultatividade de cumprimento. c) Presunção de legitimidade. d) Dependência de autorização legislativa.,Desvio de finalidade ou excesso de competência.
13. Atos Administrativos – É requisito do ato administrativo: a) Consentimento do particular. b) Forma oral obrigatória. c) Competência do agente. d) Vontade política do gestor.,Manifestações unilaterais da Administração com efeitos jurídicos.
13.1 Conceito e Requisitos – A autoexecutoriedade dos atos permite: a) Exigir prévia ordem judicial. b) Revogação exclusiva pelo Judiciário. c) Execução direta pela Administração. d) Dependência de convênio.,"Competência, finalidade, forma, motivo e objeto."
13.2 Atributos – Atos discricionários são aqueles em que: a) A Administração tem liberdade absoluta. b) A lei define todos os elementos. c) Existe margem de conveniência. d) São sempre ilegais.,"Presunção de legitimidade, imperatividade, autoexecutoriedade, tipicidade."
13.3 Classificações – Os atos punitivos incluem: a) Nomeações. b) Concessões. c) Multas e sanções. d) Declarações.,"Simples, composto, complexo; vinculados ou discricionários."
13.4 Espécies – A teoria dos motivos determinantes afirma que: a) O motivo é irrelevante. b) O ato independe da motivação. c) O motivo declarado vincula o ato. d) O agente pode agir sem motivação.,"Normativos, ordinatórios, negociais, enunciativos, punitivos."
13.5 Teoria dos Motivos Determinantes – A revogação do ato administrativo ocorre por: a) Inconstitucionalidade. b) Interesse público superveniente. c) Nulidade. d) Sentença judicial.,Motivo declarado vincula o ato.
13.6 Extinção do Ato – O processo administrativo é regido por: a) Código Penal. b) Princípios da ampla defesa e contraditório. c) Código de Processo Civil. d) Apenas normas internas.,"Revogação (mérito), anulação (ilegalidade)."
14. Processo Administrativo – A sindicância é: a) Ação penal. b) Processo judicial. c) Procedimento investigativo preliminar. d) Ato normativo.,Procedimento para tomada de decisão administrativa.
"14.1 Princípios – Nos processos administrativos, a decadência refere-se a: a) Sanção criminal. b) Interrupção de direito. c) Perda do direito de anular atos após prazo legal. d) Fato jurídico incerto.","Devido processo legal, contraditório, ampla defesa, eficiência."
14.2 Fases e Modalidades – A cláusula exorbitante em contratos administrativos: a) Garante igualdade entre partes. b) Submete a Administração ao contratado. c) Confere prerrogativas à Administração. d) É proibida por lei.,"Instauração, instrução, decisão; PAD, sindicância, outros."
14.3 Prescrição e Decadência – A teoria da imprevisão aplica-se quando: a) Há inadimplemento voluntário. b) Há previsão contratual expressa. c) Fatos imprevisíveis oneram excessivamente o contrato. d) O contrato é revogado.,Prazos para apuração de infrações e revisão de atos.
15. Contratos Administrativos – Consórcios públicos são formados por: a) Empresas privadas. b) Ministérios. c) Entes federativos. d) Fundações estrangeiras.,Instrumentos que formalizam ajustes com a Administração.
15.1 Características e Princípios – A licitação é dispensada quando: a) Não há interesse público. b) É mais conveniente ao gestor. c) A hipótese legal autoriza. d) O objeto é genérico.,"Formalismo, cláusulas exorbitantes, supremacia do interesse público."
15.2 Garantias e Cláusulas – A inexigibilidade ocorre quando: a) Há competição possível. b) Existe apenas um fornecedor viável. c) A lei exige pregão. d) O objeto é divisível.,"Execução, revisão, extinção, cláusulas essenciais."
15.3 Teoria da Imprevisão – É um crime em licitação: a) Participar com proposta válida. b) Conluio para fraudar o caráter competitivo. c) Recurso administrativo. d) Apresentar documento regular.,Revisão por fato superveniente imprevisível.
15.4 Convênios e Consórcios – Servidor estatutário: a) É regido pela CLT. b) Tem vínculo temporário. c) Está submetido a estatuto próprio. d) Não possui estabilidade.,Ajustes com fins de interesse recíproco; união de entes para ações comuns.
15.5 Contratos de Gestão – A forma de provimento derivado de cargo público é: a) Nomeação. b) Promoção. c) Concurso público. d) Exoneração.,Parcerias com OSs; metas de desempenho.
15.6 Responsabilidade Contratual – É dever do servidor público: a) Prejudicar o erário. b) Atuar com negligência. c) Observar os princípios da Administração. d) Faltar sem justificativa.,Responsabilização por inadimplemento.
16. Licitações – A concessão de serviço público é feita: a) Por portaria. b) Por contrato e licitação. c) Sem exigência formal. d) Exclusivamente a estatais.,Processos para contratação pela Administração.
16.1 Princípios e Modalidades – A intervenção do Estado na economia é permitida: a) Apenas em guerra. b) Por contrato entre particulares. c) Para assegurar interesse público e livre concorrência. d) Mediante concurso.,"Legalidade, isonomia; modalidades: concorrência, pregão, etc."
16.2 Dispensa e Inexigibilidade – Bens públicos são: a) Alienáveis livremente. b) Prescritíveis. c) Impenhoráveis e inalienáveis. d) De domínio exclusivo da União.,Hipóteses legais que afastam a licitação.
16.3 Procedimento e Recursos – A desapropriação exige: a) Ato de vontade do proprietário. b) Lei autorizativa e prévia indenização. c) Requisição administrativa. d) Decreto legislativo.,Fases da licitação; impugnações e recursos.
16.4 Crimes em Licitações – A responsabilidade do Estado por ato omissivo exige: a) Dolo. b) Prova de dano e culpa. c) Ausência de nexo causal. d) Ação direta do Estado.,"Fraude, conluio, frustração do caráter competitivo."
17. Agentes Públicos – A mediação administrativa: a) É exclusiva do Judiciário. b) Depende de ação penal. c) É forma de autocomposição de conflitos. d) Não é permitida pela CF.,Pessoas que exercem função estatal.
17.1 Regime Jurídico – (em elaboração),"Servidores estatutários, celetistas e temporários."
"17.2 Cargos, Empregos e Funções – (em elaboração)",Diferenças conceituais e regime de provimento.
"17.3 Remuneração, Vantagens e Previdência – (em elaboração)","Subsídios, gratificações e regimes previdenciários."
17.4 Direitos e Deveres – (em elaboração),"Estabilidade, licenças, dedicação, eficiência."
17.5 Sanções e Responsabilidades – (em elaboração),"Administrativa, civil, penal."
18. Serviços Públicos – (em elaboração),Atividades essenciais prestadas direta ou indiretamente.
18.1 Princípios e Classificação – (em elaboração),"Universalidade, continuidade, modicidade; essenciais ou não."
18.2 Formas de Prestação – (em elaboração),"Delegação, concessão, permissão, autorização."
18.3 Controle e Regulação – (em elaboração),Regulação por agências e fiscalização.
19. Intervenção do Estado – (em elaboração),"Atuação na economia por regulação, fomento e intervenção."
19.1 Ordem Econômica – (em elaboração),"Fundada na livre iniciativa, defesa da concorrência e função social."
20. Bens Públicos – (em elaboração),Bens afetos ao uso comum ou especial.
20.1 Regime Jurídico e Classificação – (em elaboração),"Inalienáveis, imprescritíveis, impenhoráveis."
"20.2 Aquisição, Desapropriação e Afetação – (em elaboração)",Meios legais de obtenção e uso dos bens.
21. Responsabilidade Extracontratual do Estado – (em elaboração),Dano causado por ação ou omissão do Estado.
21.1 Fundamentos e Excludentes – (em elaboração),Risco administrativo e integral; caso fortuito e culpa exclusiva.
21.2 Responsabilidade por Omissão – (em elaboração),Em geral exige comprovação de culpa.
21.3 Poder Legislativo e Judiciário – (em elaboração),Também geram responsabilidade civil.
21.4 Mediação e Autocomposição – (em elaboração),Soluções consensuais para litígios com o Estado.
